Target_Ticker,Candidate_Ticker,Distance
BBAI,BBBI,1
BBAI,ZBAI,1
BBAI,BBAG,1
BBAI,MBAI,1
BBAI,BBAX,1
BBAI,BTAI,1
BBAI,BAI,1
BBAI,BBWI,1
BBAI,BZAI,1
BBAI,BNAI,1
BBAI,BBGI,1
BBAI,BBAR,1
BBAI,BBSI,1
BYND,BYLD,1
BYND,BLND,1
BYND,BYD,1
BYND,BAND,1
BYND,BND,1
BYND,MYND,1
BYND,BOND,1
TSLL,TSLO,1
TSLL,TSEL,1
TSLL,TSOL,1
TSLL,TSLI,1
TSLL,TOLL,1
TSLL,TBLL,1
TSLL,TSLX,1
TSLL,TSLS,1
TSLL,TSLQ,1
TSLL,TSLY,1
TSLL,TILL,1
TSLL,TSLP,1
TSLL,TSLA,1
TSLL,TSL,1
TSLL,TSLT,1
TSLL,TSLG,1
TSLL,TSLW,1
TSLL,TSLR,1
TSLL,TSLZ,1
ONDS,BNDS,1
ONDS,INDS,1
ONDS,OND,1
ONDS,ODDS,1
MWG,TWG,1
MWG,EWG,1
MWG,BWG,1
MWG,MFG,1
MWG,NWG,1
MWG,MIG,1
MWG,WMG,1
MWG,MG,1
MWG,MTG,1
MWG,MEG,1
MWG,MPG,1
MWG,MWA,1
WOK,TOK,1
WOK,WK,1
WOK,ROK,1
WOK,WLK,1
WOK,NOK,1
WOK,WMK,1
WOK,WOR,1
WOK,WOW,1
WOK,AOK,1
ASST,AUST,1
ASST,GSST,1
ASST,RSST,1
ASST,AQST,1
ASST,SST,1
ASST,ASTS,1
ASST,ASRT,1
ASST,MSST,1
ASST,AMST,1
AAL,UAL,1
AAL,CAL,1
AAL,GAL,1
AAL,AVAL,1
AAL,TAL,1
AAL,AALG,1
AAL,HAL,1
AAL,AAA,1
AAL,AAM,1
AAL,WAL,1
AAL,RAL,1
AAL,AAP,1
AAL,AHL,1
AAL,AL,1
AAL,ANL,1
AAL,ALL,1
AAL,AXL,1
AAL,AGL,1
AAL,AMAL,1
AAL,AAPL,1
AAL,AVL,1
AAL,VAL,1
AAL,DAL,1
AAL,AA,1
AAL,ARL,1
AAL,PAL,1
AAL,AFL,1
AAL,AAT,1
AAL,ABL,1
BMNR,BMN,1
BMNR,BMAR,1
BMNR,BNR,1
BMNR,BMR,1
BMNR,BANR,1
BMNR,BMRN,1
BMNR,BMNU,1
BMNR,BMNZ,1
BMNR,BMNG,1
BMNR,LMNR,1
BMNR,MNR,1
TRIB,TRI,1
TRIB,TRIN,1
TRIB,TRIL,1
TRIB,TRIO,1
TRIB,TRIP,1
TRIB,TRMB,1
NFLX,NFLP,1
NFLX,XFLX,1
NFLX,NFLT,1
NFLX,NFLW,1
NFLX,FLX,1
NFLX,NFLU,1
NFLX,NFXL,1
NFLX,OFLX,1
NFLX,NFLY,1
NFLX,MFLX,1
NFLX,JFLX,1
CGC,CGCB,1
CGC,CAC,1
CGC,CCG,1
CGC,CGV,1
CGC,PGC,1
CGC,CG,1
CGC,CGIC,1
CGC,IGC,1
CGC,CGCV,1
CGC,CMC,1
CGC,GCC,1
CGC,CRC,1
CGC,CGCP,1
CGC,CCC,1
CGC,SGC,1
CGC,CDC,1
CGC,CNC,1
CGC,CBC,1
CGC,CGW,1
CGC,KGC,1
CGC,CGO,1
CGC,CGCT,1
CGC,MGC,1
CGC,BGC,1
CGC,RGC,1
CGC,CC,1
PLTR,PLMR,1
PLTR,PLTD,1
PLTR,PLTY,1
PLTR,PLUR,1
PLTR,KLTR,1
PLTR,PLTU,1
PLTR,PLDR,1
PLTR,PMTR,1
PLTR,PLTA,1
PLTR,FLTR,1
PLTR,DLTR,1
PLTR,PLTM,1
PLTR,PLTI,1
PLTR,PLTS,1
PLTR,PLT,1
PLTR,PLTZ,1
PLTR,PLTW,1
PLTR,PLTG,1
PLTR,PLTK,1
PLTR,GLTR,1
PLTR,PSTR,1
CMCSA,CMSA,1
CMCSA,CMCSV,1
BAC,CAC,1
BAC,BRC,1
BAC,BAX,1
BAC,DAC,1
BAC,BAP,1
BAC,BA,1
BAC,BOC,1
BAC,BBC,1
BAC,BAH,1
BAC,SBAC,1
BAC,IAC,1
BAC,RAC,1
BAC,BAB,1
BAC,BAM,1
BAC,BAK,1
BAC,NAC,1
BAC,BSAC,1
BAC,BANC,1
BAC,BAR,1
BAC,BXC,1
BAC,BVC,1
BAC,BHC,1
BAC,BNC,1
BAC,BTC,1
BAC,BAI,1
BAC,BFC,1
BAC,PAC,1
BAC,MAC,1
BAC,BC,1
BAC,BDC,1
BAC,LAC,1
BAC,BCC,1
BAC,VAC,1
BAC,TAC,1
BAC,IBAC,1
BAC,BACQ,1
BAC,BACC,1
BAC,BGC,1
ORCL,ORCU,1
ORCL,CRCL,1
ORCL,ORCX,1
ORCL,RCL,1
ORCL,OMCL,1
ORCL,ORCS,1
ORCL,ORC,1
GRAB,GRAL,1
GRAB,GRAN,1
GRAB,GRAG,1
GRAB,GAB,1
GRAB,GRABW,1
GRAB,GMAB,1
GRAB,GRNB,1
GRAB,GBAB,1
GRAB,GRAF,1
NIO,NIU,1
NIO,NITO,1
NIO,NIC,1
NIO,KIO,1
NIO,HIO,1
NIO,BIO,1
NIO,NIM,1
NIO,NRO,1
NIO,NPO,1
NIO,NIQ,1
NIO,INO,1
NIO,NIOG,1
NIO,AIO,1
NIO,NVO,1
NIO,NI,1
NIO,NIE,1
NIO,CIO,1
NIO,NEO,1
NIO,SIO,1
NIO,RIO,1
NIO,PIO,1
NU,NIU,1
NU,SU,1
NU,NUV,1
NU,NC,1
NU,NN,1
NU,U,1
NU,NUW,1
NU,NUE,1
NU,EU,1
NU,NL,1
NU,BU,1
NU,MU,1
NU,LU,1
NU,WU,1
NU,NI,1
NU,NEU,1
NU,AU,1
NU,NG,1
NU,NE,1
NU,NUS,1
NU,NB,1
NU,TU,1
NU,NUG,1
NU,NX,1
NU,NP,1
GOOGL,GOOG,1
RXRX,LXRX,1
RXRX,RHRX,1
RXRX,RPRX,1
RXRX,RRX,1
RXRX,XRX,1
AMD,AMG,1
AMD,ADM,1
AMD,AMDG,1
AMD,AOMD,1
AMD,AMID,1
AMD,AMDY,1
AMD,AMS,1
AMD,AGD,1
AMD,MMD,1
AMD,AOD,1
AMD,EMD,1
AMD,MD,1
AMD,AD,1
AMD,AMDL,1
AMD,VMD,1
AMD,APD,1
AMD,AM,1
AMD,AEMD,1
AMD,AMX,1
AMD,AMT,1
AMD,AMP,1
AMD,AMDD,1
AMD,AIMD,1
AMD,AMTD,1
AMD,RMD,1
AMD,AMN,1
AMD,AMZD,1
AMD,AMOD,1
AMD,AMWD,1
AMD,AMDW,1
AMD,AVD,1
AMD,AMH,1
AMD,AMDU,1
AMD,AMC,1
AMD,AMR,1
AMD,AME,1
AMD,DAMD,1
AMD,BAMD,1
RIG,SIG,1
RIG,JIG,1
RIG,EIG,1
RIG,CIG,1
RIG,RNG,1
RIG,RING,1
RIG,ROG,1
RIG,QIG,1
RIG,AIG,1
RIG,RCG,1
RIG,REG,1
RIG,MIG,1
RIG,RZG,1
RIG,FIG,1
RIG,HIG,1
RIG,RPG,1
RIG,RSG,1
RIG,RIV,1
RIG,IG,1
RIG,VRIG,1
RIG,RFG,1
RIG,RIGS,1
RIG,VIG,1
RIG,RIO,1
RIG,DIG,1
RIG,ZIG,1
RIG,RIGL,1
RIG,GIG,1
PATH,PATN,1
PATH,PACH,1
PATH,PTH,1
PATH,MATH,1
PATH,NATH,1
PATH,PRTH,1
PATH,CATH,1
PATH,PATK,1
WMT,WCT,1
WMT,WIT,1
WMT,WTM,1
WMT,WM,1
WMT,WMB,1
WMT,WST,1
WMT,WMTI,1
WMT,KMT,1
WMT,RMT,1
WMT,WMG,1
WMT,WAT,1
WMT,WMK,1
WMT,PMT,1
WMT,CMT,1
WMT,YMT,1
WMT,AMT,1
WMT,MMT,1
WMT,MT,1
WMT,WMS,1
WMT,WT,1
WMT,NMT,1
WMT,LMT,1
IONQ,IONL,1
IONQ,IONZ,1
IONQ,IONS,1
IONQ,IONR,1
IONQ,ION,1
IONQ,IONX,1
C,CW,1
C,LC,1
C,CA,1
C,S,1
C,CG,1
C,NC,1
C,CD,1
C,H,1
C,M,1
C,E,1
C,Q,1
C,PC,1
C,U,1
C,G,1
C,CL,1
C,J,1
C,CP,1
C,RC,1
C,OC,1
C,Z,1
C,VC,1
C,TC,1
C,EC,1
C,MC,1
C,A,1
C,KC,1
C,CI,1
C,DC,1
C,R,1
C,T,1
C,XC,1
C,BC,1
C,CX,1
C,L,1
C,CB,1
C,CF,1
C,V,1
C,CV,1
C,CE,1
C,O,1
C,D,1
C,W,1
C,CM,1
C,CR,1
C,B,1
C,F,1
C,FC,1
C,CC,1
FXI,FPI,1
FXI,FXL,1
FXI,PXI,1
FXI,FXR,1
FXI,FAI,1
FXI,FXO,1
FXI,FXC,1
FXI,FTI,1
FXI,FSI,1
FXI,KXI,1
FXI,FXE,1
FXI,YXI,1
FXI,FXP,1
FXI,HFXI,1
FXI,XXI,1
FXI,FXH,1
FXI,FXD,1
FXI,SXI,1
FXI,FXB,1
FXI,FRI,1
FXI,FXF,1
FXI,UXI,1
FXI,FXU,1
FXI,FXN,1
FXI,RXI,1
FXI,FPXI,1
FXI,MXI,1
FXI,FXA,1
FXI,EXI,1
FXI,FIX,1
FXI,FGI,1
FXI,FXG,1
FXI,JXI,1
FXI,FXZ,1
FXI,FHI,1
FXI,FXY,1
VEA,DEA,1
VEA,VEU,1
VEA,VEL,1
VEA,VEGA,1
VEA,VRA,1
VEA,EEA,1
VEA,EA,1
VEA,SEA,1
VEA,WEA,1
VEA,VERA,1
VEA,LEA,1
VEA,VEEA,1
VEA,VIA,1
VEA,VET,1
VEA,NEA,1
VEA,VSA,1
META,QETA,1
META,MTA,1
META,ZETA,1
META,MET$A,1
META,METV,1
META,MEHA,1
META,MEMA,1
META,MCTA,1
META,METU,1
META,METD,1
META,BETA,1
META,METC,1
META,METW,1
META,MET,1
META,METL,1
AUR,AURU,1
AUR,ACR,1
AUR,BUR,1
AUR,LAUR,1
AUR,ABR,1
AUR,AURA,1
AUR,AER,1
AUR,ASR,1
AUR,AHR,1
AUR,AURE,1
AUR,AOR,1
AUR,AWR,1
AUR,MUR,1
AUR,ADUR,1
AUR,AKR,1
AUR,ATR,1
AUR,AVR,1
AUR,AXR,1
AUR,AIR,1
AUR,AU,1
AUR,ASUR,1
AUR,AUB,1
AUR,ALUR,1
AUR,AR,1
AUR,AMR,1
AUR,TUR,1
AUR,ARR,1
MRK,MRT,1
MRK,MRM,1
MRK,MRBK,1
MRK,PRK,1
MRK,MRP,1
MRK,NMRK,1
MRK,NRK,1
MRK,MCK,1
MRK,MRSK,1
MRK,MGK,1
MRK,MRX,1
MRK,CRK,1
MRK,MHK,1
MRK,KMRK,1
MRK,MRKR,1
XOM,COM,1
XOM,ROM,1
XOM,XOMZ,1
XOM,XOP,1
XOM,XOMO,1
XOM,XOMA,1
XOM,OM,1
XOM,POM,1
XOM,XOS,1
XOM,OXM,1
XOM,NOM,1
XOM,XOMX,1
XOM,AOM,1
HBAN,HBANP,1
HBAN,HBANM,1
HBAN,CBAN,1
HBAN,HBANL,1
VG,VUG,1
VG,ZG,1
VG,VB,1
VG,SG,1
VG,CG,1
VG,NVG,1
VG,VGT,1
VG,VGZ,1
VG,VV,1
VG,PG,1
VG,UG,1
VG,G,1
VG,VPG,1
VG,HG,1
VG,VT,1
VG,FG,1
VG,MG,1
VG,BG,1
VG,VC,1
VG,AG,1
VG,VO,1
VG,GV,1
VG,VGI,1
VG,IG,1
VG,DG,1
VG,VTG,1
VG,VZ,1
VG,NG,1
VG,VGM,1
VG,V,1
VG,VS,1
VG,VGK,1
VG,TG,1
VG,VIG,1
VG,KG,1
VG,EVG,1
VG,JG,1
VG,EG,1
OCG,BCG,1
OCG,CCG,1
OCG,OCS,1
OCG,CG,1
OCG,RCG,1
OCG,OSCG,1
OCG,OFG,1
OCG,OC,1
OCG,FCG,1
OCG,OCC,1
OCG,ECG,1
OCG,ICG,1
OCG,PCG,1
OCG,OSG,1
OCG,OCGN,1
PYPL,PPL,1
PYPL,PAPL,1
PYPL,PYPD,1
PYPL,PRPL,1
PYPL,PYPY,1
PYPL,PYPG,1
AVTR,ATTR,1
AVTR,AZTR,1
AVTR,AVT,1
AVTR,AVTX,1
AVTR,EVTR,1
AVTR,ATR,1
AVTR,AVR,1
AVTR,VTR,1
AVTR,AVIR,1
MDLN,MOLN,1
MDLN,MDLV,1
MDLN,MILN,1
MDLN,MDLZ,1
MDLN,MLN,1
MDLN,DLN,1
LRCX,ORCX,1
LRCX,ARCX,1
LRCX,LRCU,1
GFS,PFS,1
GFS,GS,1
GFS,GJS,1
GFS,GNS,1
GFS,GFF,1
GFS,VFS,1
GFS,GRFS,1
GFS,GFL,1
GFS,GFI,1
GFS,IFS,1
GFS,GIS,1
GFS,OFS,1
GFS,GDS,1
GFS,LFS,1
GFS,BFS,1
GFS,GF,1
GFS,GES,1
GFS,KFS,1
GFS,GFR,1
VICI,VIDI,1
VICI,VACI,1
VICI,VIGI,1
VICI,VICR,1
VICI,VICE,1
TLRY,GLRY,1
TLRY,THRY,1
LUMN,HUMN,1
LUMN,LIMN,1
IAUX,IAUG,1
IAUX,IAU,1
IAUX,IAUM,1
IAUX,IMUX,1
IAUX,IAUI,1
ITUB,STUB,1
ITUB,IDUB,1
ITUB,ITDB,1
ITUB,ITB,1
KDP,SDP,1
KDP,FDP,1
KDP,CDP,1
KDP,ADP,1
KDP,PDP,1
KDP,KEP,1
KDP,KRP,1
KDP,KDK,1
KDP,LDP,1
KDP,KOP,1
KDP,KD,1
RIOT,IOT,1
RIOT,RBOT,1
RIOT,RINT,1
RIOT,ROOT,1
RIOT,RIET,1
RIOT,VIOT,1
RIOT,AIOT,1
RIOT,RIO,1
RIOT,RIOX,1
CLF,LCF,1
CLF,SLF,1
CLF,CLH,1
CLF,CLS,1
CLF,CIF,1
CLF,CLX,1
CLF,CALF,1
CLF,XLF,1
CLF,CL,1
CLF,CAF,1
CLF,CMF,1
CLF,CEF,1
CLF,ALF,1
CLF,COF,1
CLF,CNF,1
CLF,ILF,1
CLF,CPF,1
CLF,CLW,1
CLF,CLFD,1
CLF,CRF,1
CLF,CF,1
CLF,ELF,1
CLF,CLM,1
CLF,CLB,1
CLF,HLF,1
CLF,TLF,1
YYGH,HYGH,1
NVTS,NVT,1
NVTS,NVDS,1
NVTS,NVST,1
NVTS,NVTX,1
NVTS,NVS,1
NVTS,VTS,1
NVTS,NSTS,1
NVTS,NVGS,1
AMCI,TMCI,1
AMCI,MACI,1
AMCI,MCI,1
AMCI,AMCX,1
AMCI,SMCI,1
AMCI,ACI,1
AMCI,AMCR,1
AMCI,ASCI,1
AMCI,AMC,1
AMCI,CMCI,1
EQX,EIX,1
EQX,EQT,1
EQX,ETX,1
EQX,EVX,1
EQX,EQ,1
EQX,EFX,1
EQX,EQS,1
EQX,EEX,1
EQX,EQL,1
EQX,ECX,1
EQX,EQR,1
EQX,ERX,1
EQX,EQIX,1
EQX,EQH,1
EQX,EWX,1
JPM,PM,1
JPM,JPEM,1
JPM,APM,1
JPM,JPME,1
JPM,WPM,1
JPM,RPM,1
JPM,JEM,1
JPM,JPMB,1
JPM,JPC,1
JPM,JPY,1
JPM,JSM,1
JPM,JMM,1
JPM,JPMO,1
JPM,EPM,1
JPM,IPM,1
PFSA,TFSA,1
PFSA,PFS,1
PFSA,PCSA,1
PFSA,PFSI,1
PFSA,PSA,1
PFSA,PFFA,1
KMI,UMI,1
KMI,BMI,1
KMI,KMB,1
KMI,MMI,1
KMI,KXI,1
KMI,KIM,1
KMI,OMI,1
KMI,VMI,1
KMI,KMT,1
KMI,KMX,1
KMI,RMI,1
KMI,KMID,1
KMI,PMI,1
KMI,NMI,1
KMI,MI,1
KMI,KAI,1
KMI,KMLI,1
KMI,CMI,1
SILJ,SILA,1
SILJ,SIL,1
SILJ,SIXJ,1
SILJ,SIJ,1
SILJ,SILC,1
SILJ,SILO,1
ASBP,ASBA,1
ASBP,AVBP,1
ASBP,ASB,1
ASBP,AMBP,1
ASBP,ABP,1
ASBP,ASBPW,1
FISV,FIS,1
FISV,FISI,1
